,Artist,Track,Time,Genre
0,Nelly,(Hot S**t) Country Grammar,4:17,Rap
1,Nu Flavor,3 Little Words,3:54,R&B
2,"Jean, Wyclef",911,4:00,Rap
3,"Brock, Chad",A Country Boy Can Survive,3:54,Country
4,"Clark, Terri",A Little Gasoline,3:07,Country
5,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin
6,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B
7,Nine Days,Absolutely (Story Of A Girl),3:09,Rock
8,De La Soul,All Good?,5:02,Rap
9,Blink-182,All The Small Things,2:52,Rock
10,Lonestar,Amazed,4:25,Country
11,Madonna,American Pie,4:30,Rock
12,"Williams, Robbie",Angels,3:56,Rock
13,Hoku,Another Dumb Blonde,3:47,Pop
14,Yankee Grey,Another Nine Minutes,3:10,Country
15,Jay-Z,Anything,3:41,Rap
16,"Price, Kelly",As We Lay,6:20,Rock
17,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz
18,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap
19,"Levert, Gerald",Baby U Are,4:10,R&B
20,"Wills, Mark",Back At One,4:00,Country
21,BBMak,Back Here,3:35,Rock
22,Shyne,Bad Boyz,4:22,Rap
23,"Badu, Erkyah",Bag Lady,5:03,Rock
24,"Iglesias, Enrique",Be With You,3:36,Latin
25,"Messina, Jo Dee",Because You Love Me,3:50,Country
26,"Black, Clint",Been There,5:28,Country
27,matchbox twenty,Bent,4:12,Rock
28,Puff Daddy,Best Friend,5:33,Rap
29,"Tritt, Travis",Best Of Intentions,4:15,Country
30,Alice Deejay,Better Off Alone,6:50,Electronica
31,Ja Rule,Between Me And You,4:05,Rap
32,"Rimes, LeAnn",Big Deal,3:03,Country
33,Jay-Z,Big Pimpin',3:55,Rap
34,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
35,"Evans, Sara",Born To Fly,5:36,Country
36,Lil Bow Wow,Bounce With Me,3:22,Rap
37,"Hill, Faith",Breathe,4:04,Rap
38,Q-Tip,Breathe And Stop,4:06,Rock
39,Blaque,Bring It All To Me,3:46,Pop
40,Goo Goo Dolls,Broadway,3:54,Rock
41,"Rogers, Kenny",Buy Me A Rose,3:46,Country
42,N'Sync,Bye Bye Bye,3:15,Rock
43,Red Hot Chili Peppers,Californication,5:21,Rock
44,Lil' Zane,Callin' Me,3:43,Rap
45,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country
46,Tamia,Can't Go For That,3:38,Rock
47,"Hollister, Dave",Can't Stay,6:17,Rock
48,"Vassar, Phil",Carlene,4:07,Country
49,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
50,Kelis,Caught Out There,4:09,R&B
51,Sister Hazel,Change Your Mind,4:02,Rock
52,Ghostface Killah,Cherchez LaGhost,3:04,R&B
53,"Dixie Chicks, The",Cold Day In July,5:12,Country
54,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
55,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock
56,"Raye, Collin",Couldn't Last A Moment,3:40,Country
57,"Keith, Toby",Country Comes To Town,3:39,Country
58,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country
59,Savage Garden,Crash And Burn,4:41,Rock
60,"Carey, Mariah",Crybaby,5:19,Rock
61,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country
62,Lucy Pearl,Dance Tonight,3:45,R&B
63,Guy,Dancin',4:08,R&B
64,A*Teens,Dancing Queen,3:44,Pop
65,TLC,Dear Lie,4:36,Rock
66,SheDaisy,Deck The Halls,3:46,Country
67,"Blige, Mary J.",Deep Inside,5:26,Rock
68,Third Eye Blind,Deep Inside Of You,4:10,Rock
69,Sting,Desert Rose,3:52,Rock
70,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap
71,"Brooks, Garth",Do What You Gotta Do,2:56,Country
72,Funkmaster Flex,Do You,4:14,Rap
73,Janet,Doesn't Really Matter,4:17,Rock
74,Madison Avenue,Don't Call Me Baby,3:44,Electronica
75,M2M,Don't Say You Love Me,3:41,Pop
76,Kandi,Don't Think I'm Not,3:50,Rock
77,"Thomas, Carl",Emotional,4:31,Rock
78,Vertical Horizon,Everything You Want,4:01,Rock
79,SoulDecision,Faded,3:25,Rock
80,Sugar Ray,Falls Apart,4:15,Rock
81,"Lopez, Jennifer",Feelin' Good,4:28,Latin
82,"Gill, Vince",Feels Like Love,4:13,Country
83,"Heatherly, Eric",Flowers On The Wall,3:16,Country
84,Dr. Dre,Forgot About Dre,3:42,Rap
85,"Smith, Will",Freakin' It,3:58,Rap
86,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock
87,"Eastsidaz, The",G'D Up,4:27,Rap
88,"Jordan, Montell",Get It On.. Tonite,4:34,Rap
89,"Larrieux, Amel",Get Up,4:02,R&B
90,Beenie Man,Girls Dem Sugar,4:17,Reggae
91,98ยก,Give Me Just One Night (Una Noche),3:24,Rock
92,"Blige, Mary J.",Give Me You,5:00,Rock
93,"Strait, George",Go On,3:48,Country
94,"Dixie Chicks, The",Goodbye Earl,4:19,Country
95,"Eastsidaz, The",Got Beef,3:58,Rap
96,Eve,Got It All,3:48,Rap
97,Sisqo,Got To Get It,3:52,Rock
98,"Mumba, Samantha",Gotta Tell You,3:19,Rock
99,Vitamin C,Graduation (Friends Forever),4:23,Rock
100,Counting Crows,Hanginaround,4:07,Rock
101,Jagged Edge,He Can't Love U,3:30,Rock
102,Dream,He Loves U Not,3:43,Rock
103,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock
104,Jay-Z,Hey Papi,3:40,Rap
105,Creed,Higher,5:16,Rock
106,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap
107,"Keith, Toby",How Do You Like Me Now?!,3:29,Country
108,Lil' Kim,How Many Licks?,3:50,Rap
109,"Kravitz, Lenny",I Belong To You,4:17,Rock
110,Metallica,I Disappear,4:26,Rock
111,Aaliyah,I Don't Wanna,4:15,Rock
112,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock
113,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap
114,Savage Garden,I Knew I Loved You,4:07,Rock
115,Tuesday,I Know,4:06,Rock
116,"Houston, Whitney",I Learned From The Best,4:18,Rock
117,Sammie,I Like It,4:09,Rock
118,"Chesney, Kenny",I Lost It,3:54,Country
119,Hot Boys,I Need A Hot Girl,4:16,Rap
120,"Rimes, LeAnn",I Need You,3:42,Country
121,Splender,I Think God Can Explain,3:55,R&B
122,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop
123,"Gray, Macy",I Try,3:52,Rock
124,"Aguilera, Christina",I Turn To You,4:00,Rock
125,"Moore, Mandy",I Wanna Be With You,4:12,Pop
126,Joe,I Wanna Know,4:57,Rock
127,"Fabian, Lara",I Will Love Again,3:43,Pop
128,SheDaisy,I Will.. But,3:40,Country
129,"Thomas, Carl",I Wish,3:50,Rock
130,"McEntire, Reba",I'll Be,4:23,Country
131,Anastacia,I'm Outta Love,4:01,Pop
132,Nine Days,If I Am,4:18,Rock
133,Tamar,If You Don't Wanna Love Me,4:02,Rock
134,LL Cool J,Imagine That,4:00,Rap
135,Sisqo,Incomplete,3:52,Rock
136,Destiny's Child,Independent Women Part I,3:38,Rock
137,Sonique,It Feels So Good,3:48,Rock
138,"Jackson, Alan",It Must Be Love,2:53,Country
139,"Wright, Chely",It Was,3:51,R&B
140,"Diffie, Joe",It's Always Somethin',2:55,Country
141,N'Sync,It's Gonna Be Me,3:10,Rock
142,Bon Jovi,It's My Life,3:44,Rock
143,Big Punisher,It's So Hard,3:25,Rap
144,Destiny's Child,Jumpin' Jumpin',3:48,Rock
145,"Vassar, Phil",Just Another Day In Paradise,3:54,Country
146,"Braxton, Toni",Just Be A Man About It,4:10,Rock
147,Musiq,Just Friends (Sunny),4:02,Rap
148,Zombie Nation,Kernkraft 400,3:30,Rock
149,"Tippin, Aaron",Kiss This,2:53,Country
150,3 Doors Down,Kryptonite,3:53,Rock
151,"Hart, Beth",L.A. Song,3:47,Country
152,Papa Roach,Last Resort,3:19,Rock
153,Foo Fighters,Learn To Fly,3:55,Rock
154,D'Angelo,Left & Right,4:35,R&B
155,Drama,"Left, Right, Left",3:37,Rap
156,"Lawrence, Tracy",Lessons Learned,2:55,Country
157,Jagged Edge,Let's Get Married,4:23,Rock
158,"Hill, Faith",Let's Make Love,4:11,Rap
159,Profyle,Liar,3:57,R&B
160,"Walker, Clay","Live, Laugh, Love",4:06,Country
161,3 Doors Down,Loser,4:24,Rock
162,Eve,Love Is Blind,3:51,Rap
163,"Price, Kelly",Love Sets You Free,3:46,Rock
164,"McBride, Martina",Love's The Only House,5:13,Country
165,"Spears, Britney",Lucky,3:23,Rock
166,Santana,"Maria, Maria",4:18,Rock
167,"Paisley, Brad",Me Neither,3:19,Country
168,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country
169,Train,Meet Virginia,3:55,Rock
170,M2M,Mirror Mirror,3:19,Pop
171,Before Dark,Monica,4:04,Rock
172,"Adkins, Trace",More,3:05,Country
173,Pink,Most Girls,4:06,Rock
174,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B
175,Madonna,Music,3:45,Rock
176,"Anthony, Marc",My Baby You,3:59,Latin
177,"McGraw, Tim",My Best Friend,4:33,Country
178,Avant,My First Love,4:28,Rock
179,"Cagle, Chris",My Love Goes On And On,3:02,Country
180,"Houston, Whitney",My Love Is Your Love,4:16,Rock
181,"McGraw, Tim",My Next Thirty Years,3:37,Country
182,Limp Bizkit,N 2 Gether Now,3:55,Rock
183,Third Eye Blind,Never Let You Go,3:57,Rock
184,Metallica,No Leaf Clover (Live),5:43,Rock
185,Lil' Kim,No Matter What They Say,4:12,Rap
186,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock
187,"Herndon, Ty",No Mercy,4:43,Country
188,Ruff Endz,No More,3:56,Rock
189,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B
190,Ginuwine,None Of Ur Friends Business,4:12,Rock
191,Pearl Jam,Nothing As It Seems,5:20,Rock
192,J-Shin,One Night Stand,4:34,R&B
193,"Gilman, Billy",One Voice,4:07,Country
194,Kid Rock,Only God Knows Why,5:27,Rock
195,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock
196,"Adams, Yolanda",Open My Heart,5:30,Gospel
197,"Offspring, The",Original Prankster,3:42,Rock
198,Red Hot Chili Peppers,Otherside,4:13,Rock
199,DMX,Party Up (Up In Here),3:45,Rap
200,Barenaked Ladies,Pinch Me,3:46,Rock
201,"Jackson, Alan",Pop A Top,3:04,Country
202,Usher,Pop Ya Collar,3:36,Rock
203,Rascal Flatts,Prayin' For Daylight,3:36,Country
204,"Martin, Ricky",Private Emotion,4:02,Latin
205,Trina,Pull Over,2:58,Rap
206,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country
207,Limp Bizkit,Re-Arranged,4:08,Rock
208,"Yearwood, Trisha",Real Live Woman,3:55,Country
209,"Iglesias, Enrique",Rhythm Divine,7:35,Latin
210,En Vogue,Riddle,5:10,Rock
211,Limp Bizkit,Rollin',4:04,Rock
212,Lox,"Ryde or Die, Chick",3:56,Rap
213,"Houston, Whitney","Same Script, Different Cast",4:45,Rock
214,Destiny's Child,Say My Name,4:31,Rock
215,Avant,Separated,4:13,Rock
216,Amber,Sexual (Li Da Di),4:38,Rock
217,Mary Mary,Shackles (Praise You),3:12,Rock
218,Mystikal,Shake Ya Ass,4:46,Rap
219,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin
220,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock
221,"Martin, Ricky",She Bangs,4:02,Latin
222,"Griggs, Andy",She's More,3:19,Country
223,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock
224,Trick Daddy,Shut Up,4:17,Rap
225,No Doubt,Simple Kind Of Life,4:11,Rock
226,"Wallflowers, The",Sleepwalker,3:29,Rock
227,Lonestar,Smile,3:33,Country
228,"Allan, Gary",Smoke Rings In The Dark,4:18,Country
229,"McGraw, Tim",Some Things Never Change,3:56,Country
230,"John, Elton",Someday Out Of The Blue,4:41,Rock
231,Master P,Souljas,3:33,Rap
232,Stone Temple Pilots,Sour Girl,4:16,Rock
233,"Braxton, Toni",Spanish Guitar,4:24,Rock
234,Eminem,Stan,5:26,Rap
235,"McKnight, Brian",Stay Or Let It Go,4:32,Rock
236,IMx,Stay The Night,3:37,Rap
237,"Spencer, Tracie",Still In My Heart,4:11,Rock
238,"Moore, Chante",Straight Up,3:40,Rock
239,"Thomas, Carl",Summer Rain,4:57,Rock
240,Westlife,Swear It Again,4:07,Rock
241,Lil' Mo,Ta Da,4:17,Rap
242,Filter,Take A Picture,4:23,Rock
243,"Carter, Torrey",Take That,3:43,Rock
244,"Henley, Don",Taking You Home,4:08,Rock
245,Lil Wayne,Tha Block Is Hot,4:13,Rap
246,"Carey, Mariah",Thank God I Found You,4:14,Rock
247,Changing Faces,That Other Woman,4:00,Rock
248,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country
249,"Messina, Jo Dee",That's The Way,3:17,Country
250,"Dion, Celine",That's The Way It Is,4:03,Rock
251,Da Brat,That's What I'm Looking For,3:44,Rap
252,Bloodhound Gang,The Bad Touch,4:20,R&B
253,"Strait, George",The Best Day,3:24,Country
254,Ginuwine,The Best Man I Can Be,4:06,Rock
255,Mya,The Best Of Me,4:12,Rock
256,"Walker, Clay",The Chain Of Love,5:03,Country
257,R.E.M.,The Great Beyond,4:10,Rock
258,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B
259,Vitamin C,The Itch,3:30,Rock
260,Common,The Light,3:55,Rap
261,"Montgomery, John Michael",The Little Girl,3:52,Country
262,Dr. Dre,The Next Episode,2:38,Rap
263,"Backstreet Boys, The",The One,3:46,Rock
264,"Diffie, Joe",The Quittin' Kind,3:23,Country
265,Eminem,The Real Slim Shady,4:42,Rap
266,Fatboy Slim,The Rockafeller Skank,4:00,Electronica
267,Eminem,The Way I Am,4:40,Rap
268,Smash Mouth,Then The Morning Comes,3:04,Rock
269,Pink,There U Go,3:23,Rock
270,"McBride, Martina",There You Are,3:26,Country
271,N'Sync,This I Promise You,4:23,Rock
272,Hanson,This Time Around,4:14,Country
273,SheDaisy,This Woman Needs,3:20,Country
274,Sisqo,Thong Song,4:05,Rock
275,Fragma,Toca's Miracle,3:22,R&B
276,Joe,Treat Her Like A Lady,4:12,Rock
277,"Bega, Lou",Tricky Tricky ,3:23,Rock
278,Aaliyah,Try Again,4:03,Rock
279,Kumbia Kings,U Don't Love Me,3:50,R&B
280,Juvenile,U Understand,3:51,Rap
281,"Davidson, Clay",Unconditional,3:56,Country
282,D'Angelo,Untitled (How Does It Feel),7:10,R&B
283,"Paisley, Brad",We Danced,3:45,Country
284,LFO,West Side Story,3:27,Rock
285,"Aguilera, Christina",What A Girl Wants,3:18,Rock
286,Lonestar,What About Now,3:30,Country
287,"McEntire, Reba",What Do You Say,3:26,Country
288,"Chesney, Kenny",What I Need To Do,4:05,Country
289,Cam'ron,What Means The World To You,4:38,Rap
290,DMX,What You Want,4:05,Rap
291,Da Brat,What'Chu Like,3:57,Rap
292,DMX,What's My Name,3:50,Rap
293,Ludacris,What's Your Fantasy,4:16,Rap
294,Ideal,Whatever,3:48,R&B
295,"Worley, Darryl",When You Need My Love,3:35,Country
296,"Jones, Donell",Where I Wanna Be,6:22,Rock
297,"Sheist, Shade",Where I Wanna Be,4:16,Rap
298,"Simpson, Jessica",Where You Are,3:51,Rock
299,Ying Yang Twins,Whistle While You Twurk,4:19,Rap
300,Baha Men,Who Let The Dogs Out,3:17,R&B
301,Black Rob,Whoa!,4:04,Rap
302,Next,Wifey,4:03,Rock
303,Creed,With Arms Wide Open,3:52,Rock
304,"Dixie Chicks, The",Without You,3:32,Country
305,504 Boyz,Wobble Wobble,3:35,Rap
306,Everclear,Wonderful,4:30,Rock
307,"Brock, Chad",Yes!,3:22,Country
308,Ice Cube,You Can Do It,4:20,Rap
309,Nas,You Owe Me,3:51,R&B
310,"Anthony, Marc",You Sang To Me,3:50,Latin
311,"Price, Kelly",You Should've Told Me,3:12,Rock
312,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country
313,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country
314,Vertical Horizon,You're A God,3:45,Rock
315,"Urban, Keith",Your Everything,4:10,Country
316,"Jackson, Alan",www.memory,2:36,Country
